RDS
250,3,coupMissing,
1,5,coup1902,coup298,coupMissing,coupMissing,11,hash85307,hash79803,hash161669,hash24215,hash45562,hash172590,NA,NA,NA,NA,NA,NA,
2,6,coup9415,coup4490,coupMissing,coupMissing,11,hash99672,hash172845,hash115945,hash149047,hash246576,hash82379,hash176627,NA,NA,NA,NA,NA,
3,6,coup7997,coup3708,coup4570,coupMissing,11,hash56115,hash201033,hash189409,hash235151,hash37065,hash177653,hash247913,NA,NA,NA,NA,NA,
4,5,coup4278,coupMissing,coupMissing,coupMissing,11,hash72317,hash164848,hash254593,hash119229,hash65394,hash162629,NA,NA,NA,NA,NA,NA,
5,7,coup4315,coup4246,coup1005,coupMissing,11,hash169538,hash27219,hash254167,hash186927,hash146071,hash3010,hash74729,hash132288,NA,NA,NA,NA,
6,7,coup2644,coup2012,coup779,coupMissing,11,hash136204,hash203025,hash190017,hash142123,hash245636,hash172215,hash127346,hash76481,NA,NA,NA,NA,
7,4,coup2339,coupMissing,coupMissing,coupMissing,11,hash216717,hash220330,hash165218,hash77960,hash121157,NA,NA,NA,NA,NA,NA,NA,
8,4,coup5215,coup1559,coup6356,coupMissing,11,hash145304,hash198031,hash93807,hash235151,hash65671,NA,NA,NA,NA,NA,NA,NA,
9,5,coup3649,coupMissing,coupMissing,coupMissing,11,hash28793,hash212665,hash180889,hash103733,hash238915,hash178506,NA,NA,NA,NA,NA,NA,
10,5,coup7910,coupMissing,coupMissing,coupMissing,11,hash20381,hash208417,hash155745,hash6341,hash210569,hash49248,NA,NA,NA,NA,NA,NA,
11,6,coup1559,coup7507,coup4966,coupMissing,11,hash93807,hash19725,hash131259,hash174963,hash55872,hash145304,hash12930,NA,NA,NA,NA,NA,
12,4,coup3212,coup6722,coup2121,coupMissing,11,hash75473,hash164492,hash146071,hash234711,hash175335,NA,NA,NA,NA,NA,NA,NA,
13,5,coup797,coupMissing,coupMissing,coupMissing,11,hash112942,hash56293,hash38623,hash152675,hash162880,hash89551,NA,NA,NA,NA,NA,NA,
14,5,coup7715,coupMissing,coupMissing,coupMissing,11,hash138682,hash148606,hash232737,hash123831,hash172135,hash3429,NA,NA,NA,NA,NA,NA,
15,4,coup3335,coupMissing,coupMissing,coupMissing,11,hash160711,hash186454,hash164753,hash159812,hash77194,NA,NA,NA,NA,NA,NA,NA,
16,4,coup5619,coupMissing,coupMissing,coupMissing,11,hash16070,hash235908,hash224358,hash24837,hash41641,NA,NA,NA,NA,NA,NA,NA,
17,5,coup5796,coupMissing,coupMissing,coupMissing,11,hash89546,hash51744,hash214203,hash185637,hash247435,hash101295,NA,NA,NA,NA,NA,NA,
18,5,coup8104,coupMissing,coupMissing,coupMissing,11,hash176467,hash229897,hash58411,hash231467,hash94454,hash147683,NA,NA,NA,NA,NA,NA,
19,7,coup6231,coupMissing,coupMissing,coupMissing,11,hash212403,hash228980,hash253817,hash59257,hash250105,hash89972,hash226117,hash118205,NA,NA,NA,NA,
20,7,coup98,coup4398,coup8960,coupMissing,11,hash75330,hash208742,hash151345,hash67178,hash9046,hash96306,hash158960,hash38839,NA,NA,NA,NA,
21,5,coup5128,coup1315,coupMissing,coupMissing,11,hash188838,hash171920,hash119398,hash175335,hash103191,hash104567,NA,NA,NA,NA,NA,NA,
22,4,coup7710,coup5314,coup7997,coupMissing,11,hash189409,hash85915,hash162294,hash56115,hash239915,NA,NA,NA,NA,NA,NA,NA,
23,5,coup5576,coup5769,coup8747,coupMissing,11,hash111853,hash242029,hash47607,hash107714,hash212278,hash240334,NA,NA,NA,NA,NA,NA,
24,4,coup2372,coup4183,coup9494,coupMissing,11,hash159183,hash216946,hash65180,hash203624,hash90454,NA,NA,NA,NA,NA,NA,NA,
