RDS
750,3,coupMissing,
1,7,coup1882,coup4688,coup3575,coupMissing,9,hash61,hash1072,hash1430,hash228,hash216,hash1309,hash688,hash329,NA,NA,
2,4,coup2741,coup3345,coup3286,coupMissing,9,hash1172,hash317,hash1444,hash912,hash1921,NA,NA,NA,NA,NA,
3,7,coup2211,coupMissing,coupMissing,coupMissing,9,hash199,hash1547,hash158,hash449,hash854,hash1678,hash480,hash1579,NA,NA,
4,4,coup3685,coupMissing,coupMissing,coupMissing,9,hash1331,hash1798,hash1088,hash142,hash457,NA,NA,NA,NA,NA,
5,6,coup4323,coupMissing,coupMissing,coupMissing,9,hash1085,hash1185,hash278,hash1057,hash61,hash1757,hash1872,NA,NA,NA,
6,5,coup4881,coup735,coup3944,coupMissing,9,hash635,hash586,hash176,hash67,hash1836,hash260,NA,NA,NA,NA,
7,4,coup1172,coup1023,coup3934,coupMissing,9,hash65,hash65,hash935,hash1576,hash1294,NA,NA,NA,NA,NA,
8,5,coup3292,coup4611,coup653,coupMissing,9,hash1849,hash562,hash740,hash467,hash1533,hash1861,NA,NA,NA,NA,
9,6,coup2430,coup4755,coup3551,coupMissing,9,hash1536,hash943,hash397,hash137,hash916,hash1048,hash834,NA,NA,NA,
10,6,coup2168,coupMissing,coupMissing,coupMissing,9,hash398,hash1662,hash771,hash131,hash273,hash1592,hash158,NA,NA,NA,
11,4,coup3433,coupMissing,coupMissing,coupMissing,9,hash1335,hash442,hash1239,hash974,hash1031,NA,NA,NA,NA,NA,
12,5,coup402,coupMissing,coupMissing,coupMissing,9,hash86,hash962,hash1192,hash725,hash1637,hash1353,NA,NA,NA,NA,
13,4,coup2000,coup1359,coup564,coupMissing,9,hash1834,hash41,hash1507,hash1971,hash866,NA,NA,NA,NA,NA,
14,5,coup3123,coupMissing,coupMissing,coupMissing,9,hash456,hash1787,hash1962,hash1593,hash375,hash1712,NA,NA,NA,NA,
15,4,coup1552,coupMissing,coupMissing,coupMissing,9,hash1071,hash1955,hash903,hash1744,hash87,NA,NA,NA,NA,NA,
16,6,coup3539,coup4659,coup2061,coupMissing,9,hash741,hash97,hash1354,hash885,hash1010,hash1008,hash362,NA,NA,NA,
17,6,coup911,coup1231,coup558,coupMissing,9,hash1469,hash1892,hash421,hash582,hash1565,hash358,hash1273,NA,NA,NA,
18,4,coup2446,coup3085,coup3566,coupMissing,9,hash587,hash227,hash1053,hash1677,hash611,NA,NA,NA,NA,NA,
19,6,coup3846,coup4951,coup4638,coupMissing,9,hash1593,hash748,hash878,hash369,hash87,hash456,hash37,NA,NA,NA,
20,3,coup724,coupMissing,coupMissing,coupMissing,9,hash949,hash1775,hash516,hash1197,NA,NA,NA,NA,NA,NA,
21,6,coup65,coupMissing,coupMissing,coupMissing,9,hash690,hash224,hash1777,hash812,hash276,hash1946,hash162,NA,NA,NA,
22,5,coup697,coup3724,coup2092,coupMissing,9,hash1666,hash118,hash767,hash1893,hash1737,hash534,NA,NA,NA,NA,
23,4,coup2461,coup3123,coup1100,coupMissing,9,hash1712,hash1324,hash1808,hash1841,hash456,NA,NA,NA,NA,NA,
24,5,coup3528,coup513,coupMissing,coupMissing,9,hash558,hash1780,hash819,hash214,hash830,hash304,NA,NA,NA,NA,
25,7,coup250,coup2933,coupMissing,coupMissing,9,hash1342,hash158,hash137,hash306,hash740,hash1943,hash1658,hash877,NA,NA,
26,5,coup1634,coupMissing,coupMissing,coupMissing,9,hash656,hash334,hash6,hash1461,hash1070,hash1277,NA,NA,NA,NA,
27,5,coup723,coup3951,coup543,coupMissing,9,hash1678,hash199,hash1100,hash749,hash863,hash481,NA,NA,NA,NA,
28,6,coup4437,coup703,coupMissing,coupMissing,9,hash60,hash1989,hash1780,hash1656,hash1010,hash323,hash201,NA,NA,NA,
29,5,coup2822,coupMissing,coupMissing,coupMissing,9,hash1227,hash1885,hash899,hash1779,hash895,hash919,NA,NA,NA,NA,
30,7,coup919,coupMissing,coupMissing,coupMissing,9,hash433,hash1139,hash57,hash1280,hash9,hash332,hash1900,hash1323,NA,NA,
31,5,coup985,coupMissing,coupMissing,coupMissing,9,hash485,hash684,hash1168,hash142,hash1375,hash1097,NA,NA,NA,NA,
32,5,coup476,coupMissing,coupMissing,coupMissing,9,hash1061,hash541,hash1935,hash247,hash359,hash129,NA,NA,NA,NA,
33,5,coup4127,coup1455,coup2848,coupMissing,9,hash1136,hash342,hash361,hash1119,hash1785,hash1855,NA,NA,NA,NA,
34,5,coup1238,coup3758,coup14,coupMissing,9,hash750,hash1204,hash58,hash364,hash1166,hash1975,NA,NA,NA,NA,
35,5,coup3910,coup3045,coup2523,coupMissing,9,hash1165,hash1884,hash1317,hash1711,hash503,hash1807,NA,NA,NA,NA,
36,6,coup3696,coupMissing,coupMissing,coupMissing,9,hash1840,hash777,hash1349,hash161,hash1798,hash1109,hash1069,NA,NA,NA,
37,5,coup2727,coupMissing,coupMissing,coupMissing,9,hash920,hash334,hash1020,hash1820,hash961,hash1405,NA,NA,NA,NA,
38,4,coup2664,coup2496,coup4029,coupMissing,9,hash1933,hash523,hash725,hash1226,hash414,NA,NA,NA,NA,NA,
39,5,coup3533,coupMissing,coupMissing,coupMissing,9,hash231,hash1534,hash1436,hash13,hash1629,hash1276,NA,NA,NA,NA,
40,5,coup290,coup4110,coup1877,coupMissing,9,hash1263,hash666,hash584,hash11,hash864,hash1823,NA,NA,NA,NA,
41,6,coup564,coup4415,coup3617,coupMissing,9,hash1507,hash628,hash69,hash571,hash1895,hash1189,hash1834,NA,NA,NA,
42,4,coup102,coupMissing,coupMissing,coupMissing,9,hash1888,hash29,hash663,hash1539,hash709,NA,NA,NA,NA,NA,
43,5,coup1036,coupMissing,coupMissing,coupMissing,9,hash1876,hash1581,hash104,hash1619,hash1628,hash214,NA,NA,NA,NA,
44,6,coup3934,coupMissing,coupMissing,coupMissing,9,hash1294,hash1843,hash1512,hash797,hash496,hash65,hash1805,NA,NA,NA,
45,6,coup4272,coupMissing,coupMissing,coupMissing,9,hash1524,hash1103,hash506,hash1449,hash1486,hash1043,hash1023,NA,NA,NA,
46,6,coup1617,coupMissing,coupMissing,coupMissing,9,hash1746,hash1575,hash721,hash1514,hash679,hash653,hash1036,NA,NA,NA,
47,6,coup1412,coupMissing,coupMissing,coupMissing,9,hash693,hash1561,hash411,hash1228,hash272,hash425,hash593,NA,NA,NA,
48,9,coup3368,coupMissing,coupMissing,coupMissing,9,hash1702,hash1317,hash1702,hash1314,hash186,hash1733,hash1943,hash42,hash533,hash1369,
49,5,coup977,coup1373,coup3245,coupMissing,9,hash774,hash475,hash1435,hash1171,hash1938,hash4,NA,NA,NA,NA,
50,4,coup820,coup482,coup3476,coupMissing,9,hash766,hash1800,hash1662,hash1584,hash481,NA,NA,NA,NA,NA,
51,5,coup4945,coup419,coupMissing,coupMissing,9,hash118,hash202,hash1563,hash319,hash1675,hash1353,NA,NA,NA,NA,
52,6,coup2607,coup307,coup3887,coupMissing,9,hash957,hash185,hash370,hash1254,hash1386,hash749,hash1394,NA,NA,NA,
53,6,coup121,coup2461,coup2463,coupMissing,9,hash1324,hash859,hash930,hash1486,hash1696,hash1097,hash1712,NA,NA,NA,
54,4,coup28,coupMissing,coupMissing,coupMissing,9,hash1493,hash964,hash1613,hash1451,hash709,NA,NA,NA,NA,NA,
