RDS
750,3,coupMissing,
1,5,coup9209,coupMissing,coupMissing,coupMissing,11,hash2346,hash232,hash295,hash1815,hash1427,hash236,NA,NA,NA,NA,NA,NA,
2,7,coup1525,coupMissing,coupMissing,coupMissing,11,hash1287,hash0,hash2440,hash3925,hash430,hash799,hash3500,hash3833,NA,NA,NA,NA,
3,5,coup8844,coupMissing,coupMissing,coupMissing,11,hash3767,hash3405,hash3532,hash1205,hash1989,hash3004,NA,NA,NA,NA,NA,NA,
4,4,coup8467,coupMissing,coupMissing,coupMissing,11,hash2746,hash718,hash2458,hash3505,hash2171,NA,NA,NA,NA,NA,NA,NA,
5,4,coup9963,coupMissing,coupMissing,coupMissing,11,hash2742,hash2820,hash2266,hash2475,hash3731,NA,NA,NA,NA,NA,NA,NA,
6,6,coup6919,coupMissing,coupMissing,coupMissing,11,hash2473,hash3496,hash2412,hash3691,hash2417,hash877,hash2985,NA,NA,NA,NA,NA,
7,5,coup4955,coupMissing,coupMissing,coupMissing,11,hash3667,hash3763,hash2841,hash2091,hash129,hash1231,NA,NA,NA,NA,NA,NA,
8,4,coup3704,coup4077,coup376,coupMissing,11,hash996,hash655,hash3876,hash325,hash1072,NA,NA,NA,NA,NA,NA,NA,
9,5,coup8923,coupMissing,coupMissing,coupMissing,11,hash582,hash3419,hash2325,hash2941,hash3661,hash1090,NA,NA,NA,NA,NA,NA,
10,4,coup9901,coupMissing,coupMissing,coupMissing,11,hash3667,hash613,hash3643,hash271,hash175,NA,NA,NA,NA,NA,NA,NA,
11,4,coup1326,coup9965,coup6116,coupMissing,11,hash1617,hash931,hash2774,hash2394,hash20,NA,NA,NA,NA,NA,NA,NA,
12,3,coup904,coupMissing,coupMissing,coupMissing,11,hash1582,hash207,hash273,hash2472,NA,NA,NA,NA,NA,NA,NA,NA,
13,6,coup6522,coupMissing,coupMissing,coupMissing,11,hash2570,hash2121,hash2914,hash2645,hash1593,hash1853,hash190,NA,NA,NA,NA,NA,
14,7,coup9845,coupMissing,coupMissing,coupMissing,11,hash874,hash3418,hash185,hash569,hash2718,hash1500,hash33,hash1711,NA,NA,NA,NA,
15,5,coup3191,coupMissing,coupMissing,coupMissing,11,hash367,hash2748,hash943,hash1589,hash550,hash702,NA,NA,NA,NA,NA,NA,
16,5,coup6808,coupMissing,coupMissing,coupMissing,11,hash973,hash2558,hash1792,hash2861,hash130,hash3919,NA,NA,NA,NA,NA,NA,
17,7,coup6318,coup2426,coup7480,coupMissing,11,hash1571,hash3329,hash3792,hash3735,hash3869,hash2822,hash2385,hash1643,NA,NA,NA,NA,
18,5,coup1652,coup9820,coup4757,coupMissing,11,hash1359,hash1400,hash3396,hash313,hash3601,hash1151,NA,NA,NA,NA,NA,NA,
19,5,coup4302,coup804,coup7806,coupMissing,11,hash581,hash1329,hash3922,hash1933,hash680,hash1754,NA,NA,NA,NA,NA,NA,
20,5,coup5008,coupMissing,coupMissing,coupMissing,11,hash1269,hash1812,hash2018,hash3021,hash2299,hash981,NA,NA,NA,NA,NA,NA,
21,5,coup7235,coup6922,coup8329,coupMissing,11,hash1396,hash990,hash556,hash2758,hash2351,hash3967,NA,NA,NA,NA,NA,NA,
22,6,coup5033,coup8733,coup1332,coupMissing,11,hash2292,hash2758,hash2441,hash2106,hash1922,hash2087,hash3210,NA,NA,NA,NA,NA,
23,7,coup8643,coupMissing,coupMissing,coupMissing,11,hash771,hash343,hash2533,hash265,hash2899,hash2544,hash1101,hash3190,NA,NA,NA,NA,
24,5,coup7675,coupMissing,coupMissing,coupMissing,11,hash2953,hash427,hash3000,hash1171,hash376,hash220,NA,NA,NA,NA,NA,NA,
25,7,coup6503,coup1865,coup1891,coupMissing,11,hash322,hash1205,hash2103,hash1377,hash1877,hash2105,hash2104,hash1146,NA,NA,NA,NA,
26,7,coup8327,coup9849,coup7420,coupMissing,11,hash1721,hash192,hash1146,hash3796,hash604,hash364,hash2431,hash1371,NA,NA,NA,NA,
27,4,coup2886,coupMissing,coupMissing,coupMissing,11,hash2936,hash1537,hash867,hash2740,hash1991,NA,NA,NA,NA,NA,NA,NA,
28,5,coup7377,coupMissing,coupMissing,coupMissing,11,hash2910,hash1426,hash813,hash3901,hash1017,hash1575,NA,NA,NA,NA,NA,NA,
29,7,coup8077,coup5204,coup4851,coupMissing,11,hash3660,hash852,hash361,hash761,hash2055,hash1599,hash2168,hash869,NA,NA,NA,NA,
30,3,coup2075,coup9177,coup4224,coupMissing,11,hash1136,hash3203,hash2518,hash701,NA,NA,NA,NA,NA,NA,NA,NA,
31,6,coup8366,coup277,coup5230,coupMissing,11,hash1488,hash232,hash2042,hash1020,hash1934,hash1803,hash2520,NA,NA,NA,NA,NA,
32,5,coup844,coupMissing,coupMissing,coupMissing,11,hash2068,hash1715,hash2892,hash2628,hash640,hash1643,NA,NA,NA,NA,NA,NA,
33,4,coup5403,coup9099,coup8265,coupMissing,11,hash1236,hash192,hash3602,hash2462,hash2782,NA,NA,NA,NA,NA,NA,NA,
34,6,coup1865,coup1553,coup6290,coupMissing,11,hash1877,hash1050,hash402,hash322,hash2276,hash3386,hash3881,NA,NA,NA,NA,NA,
35,6,coup9563,coup6121,coup9050,coupMissing,11,hash2566,hash799,hash3357,hash2706,hash2176,hash3844,hash1415,NA,NA,NA,NA,NA,
36,4,coup6728,coup4731,coup9525,coupMissing,11,hash749,hash537,hash1648,hash917,hash2513,NA,NA,NA,NA,NA,NA,NA,
37,6,coup1862,coupMissing,coupMissing,coupMissing,11,hash2083,hash320,hash3302,hash3463,hash1721,hash1102,hash2949,NA,NA,NA,NA,NA,
38,5,coup6916,coupMissing,coupMissing,coupMissing,11,hash958,hash2249,hash955,hash2396,hash2937,hash3907,NA,NA,NA,NA,NA,NA,
39,4,coup4290,coup4489,coupMissing,coupMissing,11,hash2912,hash48,hash93,hash2048,hash614,NA,NA,NA,NA,NA,NA,NA,
40,5,coup6197,coup2936,coupMissing,coupMissing,11,hash1163,hash3078,hash3458,hash3756,hash1942,hash507,NA,NA,NA,NA,NA,NA,
41,6,coup8733,coup2153,coup5276,coupMissing,11,hash2758,hash3475,hash508,hash2502,hash2292,hash1075,hash2164,NA,NA,NA,NA,NA,
42,6,coup468,coup236,coup6720,coupMissing,11,hash302,hash2896,hash2073,hash1083,hash2155,hash2657,hash2358,NA,NA,NA,NA,NA,
43,7,coup6873,coupMissing,coupMissing,coupMissing,11,hash318,hash638,hash3396,hash1230,hash1530,hash3267,hash1288,hash3807,NA,NA,NA,NA,
44,6,coup6921,coup2100,coupMissing,coupMissing,11,hash2490,hash3796,hash3075,hash2821,hash734,hash1189,hash3259,NA,NA,NA,NA,NA,
45,5,coup7988,coupMissing,coupMissing,coupMissing,11,hash1367,hash1183,hash1566,hash3967,hash2210,hash3527,NA,NA,NA,NA,NA,NA,
46,6,coup2616,coupMissing,coupMissing,coupMissing,11,hash39,hash3649,hash2207,hash3665,hash2586,hash897,hash592,NA,NA,NA,NA,NA,
47,4,coup8490,coup9566,coupMissing,coupMissing,11,hash50,hash2921,hash3322,hash1822,hash1989,NA,NA,NA,NA,NA,NA,NA,
48,5,coup2204,coupMissing,coupMissing,coupMissing,11,hash3504,hash3626,hash1557,hash431,hash455,hash150,NA,NA,NA,NA,NA,NA,
49,5,coup3739,coupMissing,coupMissing,coupMissing,11,hash92,hash3665,hash3334,hash2422,hash2828,hash190,NA,NA,NA,NA,NA,NA,
50,4,coup9176,coupMissing,coupMissing,coupMissing,11,hash2431,hash529,hash2951,hash2048,hash1702,NA,NA,NA,NA,NA,NA,NA,
51,5,coup6779,coup3016,coup65,coupMissing,11,hash2515,hash2217,hash444,hash3862,hash28,hash1265,NA,NA,NA,NA,NA,NA,
52,7,coup9538,coup7679,coup8377,coupMissing,11,hash1525,hash1238,hash1960,hash2635,hash642,hash3382,hash3841,hash156,NA,NA,NA,NA,
53,7,coup5531,coup9778,coup958,coupMissing,11,hash3686,hash3277,hash2099,hash2898,hash1507,hash1444,hash2625,hash939,NA,NA,NA,NA,
54,8,coup4308,coup8530,coup197,coupMissing,11,hash3400,hash1247,hash229,hash623,hash3208,hash60,hash1648,hash1063,hash2903,NA,NA,NA,
55,5,coup2217,coupMissing,coupMissing,coupMissing,11,hash178,hash1486,hash3782,hash788,hash3257,hash1062,NA,NA,NA,NA,NA,NA,
56,5,coup426,coupMissing,coupMissing,coupMissing,11,hash550,hash2641,hash547,hash1701,hash1821,hash1700,NA,NA,NA,NA,NA,NA,
57,4,coup1685,coupMissing,coupMissing,coupMissing,11,hash919,hash2372,hash88,hash683,hash3906,NA,NA,NA,NA,NA,NA,NA,
58,5,coup5675,coup9580,coup927,coupMissing,11,hash3997,hash2739,hash1809,hash2296,hash3088,hash3841,NA,NA,NA,NA,NA,NA,
59,5,coup545,coup2647,coup3964,coupMissing,11,hash2178,hash3781,hash3759,hash875,hash3993,hash818,NA,NA,NA,NA,NA,NA,
60,5,coup6612,coupMissing,coupMissing,coupMissing,11,hash1172,hash1167,hash1882,hash161,hash3533,hash782,NA,NA,NA,NA,NA,NA,
61,4,coup4296,coupMissing,coupMissing,coupMissing,11,hash3181,hash2027,hash2085,hash3575,hash2513,NA,NA,NA,NA,NA,NA,NA,
62,5,coup6421,coup3089,coup9913,coupMissing,11,hash1757,hash2394,hash1845,hash2396,hash525,hash3724,NA,NA,NA,NA,NA,NA,
63,5,coup4940,coupMissing,coupMissing,coupMissing,11,hash851,hash3227,hash3129,hash2062,hash2118,hash271,NA,NA,NA,NA,NA,NA,
64,4,coup7940,coup9012,coup7271,coupMissing,11,hash566,hash3340,hash3281,hash3881,hash3294,NA,NA,NA,NA,NA,NA,NA,
65,4,coup3070,coup4442,coup1615,coupMissing,11,hash2956,hash256,hash1779,hash3215,hash448,NA,NA,NA,NA,NA,NA,NA,
66,4,coup3510,coupMissing,coupMissing,coupMissing,11,hash2766,hash256,hash3979,hash981,hash206,NA,NA,NA,NA,NA,NA,NA,
67,6,coup733,coupMissing,coupMissing,coupMissing,11,hash645,hash2756,hash3667,hash1124,hash1306,hash81,hash1603,NA,NA,NA,NA,NA,
68,5,coup2807,coup6100,coup4527,coupMissing,11,hash3548,hash1924,hash74,hash958,hash114,hash2089,NA,NA,NA,NA,NA,NA,
69,4,coup573,coup5397,coup9250,coupMissing,11,hash3855,hash57,hash1167,hash180,hash1171,NA,NA,NA,NA,NA,NA,NA,
70,9,coup4219,coupMissing,coupMissing,coupMissing,11,hash2733,hash1060,hash316,hash2502,hash3029,hash161,hash3595,hash3394,hash1706,hash71,NA,NA,
71,4,coup187,coup7292,coup1234,coupMissing,11,hash130,hash1806,hash202,hash2625,hash2454,NA,NA,NA,NA,NA,NA,NA,
72,5,coup1941,coup1379,coup2592,coupMissing,11,hash3475,hash2758,hash477,hash1986,hash353,hash242,NA,NA,NA,NA,NA,NA,
73,4,coup7445,coupMissing,coupMissing,coupMissing,11,hash3386,hash3623,hash3000,hash952,hash288,NA,NA,NA,NA,NA,NA,NA,
74,5,coup3674,coup9845,coup8758,coupMissing,11,hash569,hash438,hash3239,hash2986,hash874,hash1273,NA,NA,NA,NA,NA,NA,
75,5,coup1669,coupMissing,coupMissing,coupMissing,11,hash715,hash1557,hash350,hash342,hash2523,hash3752,NA,NA,NA,NA,NA,NA,
76,7,coup7217,coupMissing,coupMissing,coupMissing,11,hash2223,hash1055,hash1261,hash247,hash229,hash890,hash3618,hash184,NA,NA,NA,NA,
77,5,coup9324,coup3975,coup9667,coupMissing,11,hash968,hash2941,hash1842,hash756,hash3678,hash3481,NA,NA,NA,NA,NA,NA,
78,5,coup993,coup3665,coup9901,coupMissing,11,hash175,hash3024,hash2949,hash3673,hash3667,hash2088,NA,NA,NA,NA,NA,NA,
79,6,coup9871,coup3548,coup27,coupMissing,11,hash2876,hash2820,hash2861,hash885,hash639,hash1787,hash3349,NA,NA,NA,NA,NA,
80,5,coup9279,coupMissing,coupMissing,coupMissing,11,hash2042,hash956,hash2852,hash3308,hash1311,hash1265,NA,NA,NA,NA,NA,NA,
81,7,coup6555,coup4901,coup6424,coupMissing,11,hash3179,hash1050,hash1702,hash2473,hash3367,hash1086,hash432,hash1016,NA,NA,NA,NA,
82,5,coup90,coup5313,coup3510,coupMissing,11,hash256,hash905,hash481,hash2706,hash2766,hash1239,NA,NA,NA,NA,NA,NA,
83,8,coup5030,coupMissing,coupMissing,coupMissing,11,hash2792,hash3800,hash2783,hash3398,hash3086,hash3363,hash3796,hash797,hash1190,NA,NA,NA,
84,4,coup5921,coupMissing,coupMissing,coupMissing,11,hash2225,hash1132,hash3645,hash2644,hash3684,NA,NA,NA,NA,NA,NA,NA,
85,4,coup9667,coupMissing,coupMissing,coupMissing,11,hash1842,hash3641,hash2395,hash968,hash2115,NA,NA,NA,NA,NA,NA,NA,
