RDS
500,3,coupMissing,
1,4,coup7864,coup2390,coup1556,coupMissing,10,hash1251,hash150,hash1732,hash3165,hash341,NA,NA,NA,NA,NA,NA,
2,4,coup2885,coup6335,coupMissing,coupMissing,10,hash1571,hash3244,hash207,hash2101,hash3080,NA,NA,NA,NA,NA,NA,
3,7,coup9845,coupMissing,coupMissing,coupMissing,10,hash874,hash3418,hash185,hash569,hash2718,hash1500,hash33,hash1711,NA,NA,NA,
4,6,coup5828,coupMissing,coupMissing,coupMissing,10,hash3649,hash2409,hash536,hash210,hash2158,hash3261,hash3528,NA,NA,NA,NA,
5,6,coup4539,coupMissing,coupMissing,coupMissing,10,hash1987,hash2027,hash3761,hash2236,hash1857,hash3761,hash3364,NA,NA,NA,NA,
6,4,coup8987,coupMissing,coupMissing,coupMissing,10,hash669,hash770,hash3893,hash1947,hash1345,NA,NA,NA,NA,NA,NA,
7,5,coup195,coupMissing,coupMissing,coupMissing,10,hash2132,hash3791,hash3430,hash1975,hash3814,hash3257,NA,NA,NA,NA,NA,
8,5,coup1716,coup907,coupMissing,coupMissing,10,hash1101,hash3394,hash3108,hash968,hash260,hash649,NA,NA,NA,NA,NA,
9,7,coup8191,coupMissing,coupMissing,coupMissing,10,hash1129,hash878,hash2092,hash1546,hash818,hash1844,hash959,hash2612,NA,NA,NA,
10,4,coup8907,coup3862,coup3571,coupMissing,10,hash942,hash1428,hash1905,hash289,hash3737,NA,NA,NA,NA,NA,NA,
11,6,coup7963,coupMissing,coupMissing,coupMissing,10,hash1174,hash2767,hash874,hash1744,hash1993,hash1919,hash1676,NA,NA,NA,NA,
12,6,coup3222,coup2885,coup5215,coupMissing,10,hash3244,hash2566,hash1240,hash1454,hash1571,hash224,hash417,NA,NA,NA,NA,
13,5,coup8350,coup5342,coup8231,coupMissing,10,hash3539,hash484,hash3308,hash1289,hash2954,hash3002,NA,NA,NA,NA,NA,
14,6,coup3120,coup1323,coup3262,coupMissing,10,hash2473,hash2800,hash109,hash2775,hash3179,hash1810,hash3929,NA,NA,NA,NA,
15,3,coup4516,coup3253,coup8403,coupMissing,10,hash1494,hash1763,hash1334,hash204,NA,NA,NA,NA,NA,NA,NA,
16,5,coup2930,coup4084,coup8141,coupMissing,10,hash3994,hash2027,hash2999,hash3573,hash166,hash2645,NA,NA,NA,NA,NA,
17,4,coup8176,coupMissing,coupMissing,coupMissing,10,hash2422,hash3944,hash1911,hash2454,hash3490,NA,NA,NA,NA,NA,NA,
18,4,coup5883,coup3071,coup1417,coupMissing,10,hash3684,hash2481,hash1906,hash633,hash3830,NA,NA,NA,NA,NA,NA,
19,5,coup1805,coup3475,coup2809,coupMissing,10,hash3619,hash2409,hash3687,hash368,hash1644,hash311,NA,NA,NA,NA,NA,
20,8,coup7071,coup4490,coupMissing,coupMissing,10,hash3220,hash2086,hash3373,hash2543,hash1641,hash154,hash584,hash1025,hash2676,NA,NA,
21,6,coup7512,coupMissing,coupMissing,coupMissing,10,hash537,hash3946,hash3614,hash1748,hash1654,hash2534,hash2404,NA,NA,NA,NA,
22,4,coup5384,coupMissing,coupMissing,coupMissing,10,hash2575,hash3967,hash2699,hash874,hash1092,NA,NA,NA,NA,NA,NA,
23,5,coup6705,coup9531,coup9406,coupMissing,10,hash2445,hash354,hash2591,hash2358,hash1267,hash1980,NA,NA,NA,NA,NA,
24,4,coup2855,coup7052,coup184,coupMissing,10,hash1481,hash3451,hash3041,hash584,hash2768,NA,NA,NA,NA,NA,NA,
25,5,coup4517,coup1637,coup3198,coupMissing,10,hash71,hash3110,hash3784,hash1013,hash729,hash3080,NA,NA,NA,NA,NA,
26,5,coup7489,coupMissing,coupMissing,coupMissing,10,hash1973,hash2833,hash770,hash947,hash1942,hash949,NA,NA,NA,NA,NA,
27,5,coup9792,coup9320,coup2064,coupMissing,10,hash2597,hash2216,hash1177,hash1097,hash169,hash735,NA,NA,NA,NA,NA,
28,5,coup1637,coupMissing,coupMissing,coupMissing,10,hash3110,hash2966,hash2811,hash71,hash2224,hash2667,NA,NA,NA,NA,NA,
29,5,coup2430,coup2827,coup7512,coupMissing,10,hash3614,hash670,hash3881,hash3873,hash910,hash537,NA,NA,NA,NA,NA,
30,5,coup8278,coupMissing,coupMissing,coupMissing,10,hash1866,hash376,hash2297,hash3356,hash57,hash562,NA,NA,NA,NA,NA,
31,7,coup2506,coup2122,coupMissing,coupMissing,10,hash3648,hash1234,hash1847,hash233,hash3286,hash3004,hash2251,hash741,NA,NA,NA,
32,4,coup4084,coup7279,coup2148,coupMissing,10,hash3573,hash1671,hash91,hash797,hash3994,NA,NA,NA,NA,NA,NA,
33,5,coup2148,coup3416,coup2218,coupMissing,10,hash91,hash1452,hash3076,hash3573,hash2766,hash2582,NA,NA,NA,NA,NA,
34,5,coup3404,coupMissing,coupMissing,coupMissing,10,hash219,hash2642,hash3369,hash3702,hash2063,hash3918,NA,NA,NA,NA,NA,
35,3,coup184,coup5105,coup8651,coupMissing,10,hash3041,hash2596,hash1481,hash997,NA,NA,NA,NA,NA,NA,NA,
36,4,coup8900,coup209,coup6590,coupMissing,10,hash3317,hash2084,hash584,hash1528,hash1121,NA,NA,NA,NA,NA,NA,
37,6,coup4541,coup5390,coup2005,coupMissing,10,hash3442,hash811,hash2480,hash412,hash3998,hash2775,hash3991,NA,NA,NA,NA,
38,5,coup7380,coupMissing,coupMissing,coupMissing,10,hash2178,hash2792,hash1874,hash556,hash519,hash3685,NA,NA,NA,NA,NA,
39,7,coup678,coupMissing,coupMissing,coupMissing,10,hash3250,hash3799,hash3565,hash3876,hash3663,hash776,hash3967,hash1991,NA,NA,NA,
40,8,coup4509,coup7674,coup2494,coupMissing,10,hash1998,hash3701,hash1424,hash785,hash962,hash3785,hash2859,hash3656,hash712,NA,NA,
41,6,coup7191,coupMissing,coupMissing,coupMissing,10,hash2462,hash1615,hash3243,hash3832,hash3321,hash1936,hash3232,NA,NA,NA,NA,
42,5,coup223,coupMissing,coupMissing,coupMissing,10,hash414,hash1141,hash1208,hash3224,hash1064,hash1906,NA,NA,NA,NA,NA,
43,4,coup6817,coupMissing,coupMissing,coupMissing,10,hash3476,hash3735,hash3943,hash3326,hash2163,NA,NA,NA,NA,NA,NA,
44,5,coup9938,coupMissing,coupMissing,coupMissing,10,hash800,hash436,hash636,hash1639,hash636,hash3687,NA,NA,NA,NA,NA,
45,5,coup9715,coup4953,coup1273,coupMissing,10,hash3261,hash1601,hash2795,hash1177,hash601,hash194,NA,NA,NA,NA,NA,
46,5,coup8120,coupMissing,coupMissing,coupMissing,10,hash1479,hash3965,hash222,hash1154,hash3522,hash1453,NA,NA,NA,NA,NA,
47,4,coup6134,coupMissing,coupMissing,coupMissing,10,hash2477,hash3484,hash2177,hash2791,hash2262,NA,NA,NA,NA,NA,NA,
48,4,coup5798,coup7489,coup8987,coupMissing,10,hash770,hash669,hash3677,hash557,hash1973,NA,NA,NA,NA,NA,NA,
49,4,coup9098,coup5951,coup6701,coupMissing,10,hash1789,hash2375,hash3778,hash1009,hash1644,NA,NA,NA,NA,NA,NA,
50,8,coup7736,coup7828,coup195,coupMissing,10,hash3257,hash2132,hash1856,hash1233,hash3857,hash178,hash2878,hash2180,hash1880,NA,NA,
51,6,coup1944,coup3882,coup2900,coupMissing,10,hash485,hash949,hash3823,hash3593,hash29,hash1383,hash1794,NA,NA,NA,NA,
52,4,coup7889,coup2222,coupMissing,coupMissing,10,hash3623,hash348,hash2472,hash2792,hash1039,NA,NA,NA,NA,NA,NA,
53,5,coup2738,coupMissing,coupMissing,coupMissing,10,hash2546,hash2590,hash2268,hash1585,hash2212,hash2333,NA,NA,NA,NA,NA,
54,5,coup5653,coupMissing,coupMissing,coupMissing,10,hash3216,hash2755,hash783,hash1747,hash1199,hash3365,NA,NA,NA,NA,NA,
55,6,coup4524,coup1425,coupMissing,coupMissing,10,hash261,hash76,hash569,hash3747,hash2428,hash221,hash3313,NA,NA,NA,NA,
56,5,coup501,coupMissing,coupMissing,coupMissing,10,hash897,hash2800,hash2235,hash2234,hash111,hash434,NA,NA,NA,NA,NA,
57,4,coup4265,coup4509,coup5610,coupMissing,10,hash3656,hash140,hash1998,hash206,hash1663,NA,NA,NA,NA,NA,NA,
58,5,coup8234,coupMissing,coupMissing,coupMissing,10,hash3192,hash1934,hash3727,hash309,hash1480,hash1716,NA,NA,NA,NA,NA,
59,5,coup1041,coupMissing,coupMissing,coupMissing,10,hash1717,hash2590,hash622,hash2564,hash817,hash149,NA,NA,NA,NA,NA,
60,3,coup121,coup1192,coup9688,coupMissing,10,hash1142,hash1287,hash3237,hash3508,NA,NA,NA,NA,NA,NA,NA,
61,7,coup6133,coupMissing,coupMissing,coupMissing,10,hash2135,hash1729,hash2216,hash1570,hash3793,hash3244,hash2435,hash3794,NA,NA,NA,
62,3,coup6572,coupMissing,coupMissing,coupMissing,10,hash3914,hash621,hash1288,hash2467,NA,NA,NA,NA,NA,NA,NA,
63,5,coup2825,coupMissing,coupMissing,coupMissing,10,hash2784,hash3784,hash2621,hash1011,hash1601,hash3132,NA,NA,NA,NA,NA,
64,8,coup3579,coup8095,coup3693,coupMissing,10,hash3709,hash1749,hash109,hash3894,hash343,hash1053,hash3158,hash618,hash580,NA,NA,
65,5,coup5508,coupMissing,coupMissing,coupMissing,10,hash3114,hash2038,hash3778,hash2589,hash2723,hash2298,NA,NA,NA,NA,NA,
66,6,coup6701,coupMissing,coupMissing,coupMissing,10,hash3778,hash733,hash1652,hash745,hash1789,hash2773,hash2598,NA,NA,NA,NA,
