RDS
750,3,coupMissing,
1,7,coup1950,coup4096,coupMissing,coupMissing,9,hash81308,hash144013,hash244346,hash230059,hash140441,hash76604,hash247221,hash113527,NA,NA,
2,4,coup4265,coupMissing,coupMissing,coupMissing,9,hash99520,hash234113,hash235418,hash166172,hash113779,NA,NA,NA,NA,NA,
3,5,coup450,coup3629,coup2189,coupMissing,9,hash213128,hash48327,hash8434,hash32407,hash144274,hash13384,NA,NA,NA,NA,
4,7,coup5209,coup3233,coup1173,coupMissing,9,hash18106,hash150147,hash152819,hash16188,hash96865,hash68406,hash248126,hash220462,NA,NA,
5,5,coup3822,coupMissing,coupMissing,coupMissing,9,hash153716,hash21503,hash31185,hash148836,hash68274,hash63099,NA,NA,NA,NA,
6,5,coup3939,coupMissing,coupMissing,coupMissing,9,hash8434,hash213128,hash216535,hash36848,hash10352,hash226215,NA,NA,NA,NA,
7,4,coup6633,coupMissing,coupMissing,coupMissing,9,hash36663,hash5204,hash1161,hash87120,hash121034,NA,NA,NA,NA,NA,
8,5,coup1017,coup2141,coup9656,coupMissing,9,hash216253,hash255188,hash36464,hash142733,hash68451,hash2243,NA,NA,NA,NA,
9,4,coup101,coupMissing,coupMissing,coupMissing,9,hash97299,hash156097,hash53334,hash183719,hash18682,NA,NA,NA,NA,NA,
10,5,coup9167,coupMissing,coupMissing,coupMissing,9,hash95326,hash136916,hash56350,hash48633,hash56987,hash153533,NA,NA,NA,NA,
11,5,coup354,coup8565,coup4847,coupMissing,9,hash142166,hash190790,hash195599,hash112511,hash84470,hash43874,NA,NA,NA,NA,
12,4,coup5656,coupMissing,coupMissing,coupMissing,9,hash51785,hash124998,hash8895,hash9469,hash67674,NA,NA,NA,NA,NA,
13,4,coup8872,coup7145,coupMissing,coupMissing,9,hash83218,hash8792,hash122764,hash21405,hash56754,NA,NA,NA,NA,NA,
14,6,coup8715,coup6449,coup9287,coupMissing,9,hash151255,hash139508,hash63963,hash152212,hash53919,hash211327,hash209611,NA,NA,NA,
15,5,coup796,coup1258,coup196,coupMissing,9,hash150886,hash169115,hash69763,hash251964,hash61416,hash26861,NA,NA,NA,NA,
16,5,coup2226,coupMissing,coupMissing,coupMissing,9,hash19390,hash118743,hash89016,hash13187,hash55969,hash254431,NA,NA,NA,NA,
17,4,coup5710,coupMissing,coupMissing,coupMissing,9,hash207523,hash31412,hash235530,hash156980,hash136562,NA,NA,NA,NA,NA,
18,6,coup3566,coup1477,coup9162,coupMissing,9,hash29903,hash101693,hash23829,hash124715,hash67554,hash186492,hash23179,NA,NA,NA,
19,5,coup5955,coupMissing,coupMissing,coupMissing,9,hash219591,hash115079,hash185416,hash86166,hash241808,hash145493,NA,NA,NA,NA,
20,6,coup8902,coupMissing,coupMissing,coupMissing,9,hash244346,hash81308,hash172656,hash253228,hash46927,hash214926,hash213179,NA,NA,NA,
21,5,coup1843,coup3644,coup365,coupMissing,9,hash228672,hash246811,hash130436,hash209238,hash101897,hash193000,NA,NA,NA,NA,
22,6,coup7686,coup9862,coup3806,coupMissing,9,hash227772,hash217122,hash122661,hash217100,hash147784,hash132904,hash151458,NA,NA,NA,
23,5,coup1477,coupMissing,coupMissing,coupMissing,9,hash23179,hash166264,hash9300,hash29903,hash24656,hash188302,NA,NA,NA,NA,
24,6,coup6442,coupMissing,coupMissing,coupMissing,9,hash25515,hash164718,hash113478,hash218359,hash252757,hash131433,hash125185,NA,NA,NA,
25,6,coup1037,coupMissing,coupMissing,coupMissing,9,hash88866,hash244730,hash214696,hash43616,hash63552,hash169365,hash144258,NA,NA,NA,
26,5,coup9656,coupMissing,coupMissing,coupMissing,9,hash255188,hash177480,hash51237,hash216253,hash205666,hash28231,NA,NA,NA,NA,
27,5,coup4104,coup9074,coup8829,coupMissing,9,hash215312,hash226488,hash172130,hash71302,hash18885,hash167435,NA,NA,NA,NA,
28,5,coup9432,coupMissing,coupMissing,coupMissing,9,hash44123,hash238744,hash134523,hash144681,hash225105,hash86935,NA,NA,NA,NA,
29,5,coup4625,coupMissing,coupMissing,coupMissing,9,hash111382,hash218353,hash28596,hash231114,hash234772,hash180091,NA,NA,NA,NA,
30,6,coup5248,coup4642,coup2292,coupMissing,9,hash102967,hash4919,hash205666,hash227477,hash131810,hash107523,hash107639,NA,NA,NA,
31,5,coup1499,coup4180,coup2045,coupMissing,9,hash233996,hash176407,hash135403,hash227585,hash170041,hash198882,NA,NA,NA,NA,
32,6,coup1559,coupMissing,coupMissing,coupMissing,9,hash93807,hash19725,hash131259,hash174963,hash55872,hash145304,hash12930,NA,NA,NA,
33,4,coup441,coupMissing,coupMissing,coupMissing,9,hash49613,hash32860,hash118782,hash94620,hash223891,NA,NA,NA,NA,NA,
34,4,coup8898,coupMissing,coupMissing,coupMissing,9,hash159194,hash228356,hash222124,hash247218,hash196086,NA,NA,NA,NA,NA,
35,4,coup1613,coupMissing,coupMissing,coupMissing,9,hash213538,hash190493,hash206879,hash143817,hash214896,NA,NA,NA,NA,NA,
36,7,coup5393,coup3431,coup6265,coupMissing,9,hash214910,hash97314,hash162600,hash42144,hash106771,hash172052,hash83879,hash179277,NA,NA,
37,5,coup8798,coup6095,coup7472,coupMissing,9,hash89865,hash83489,hash254798,hash53216,hash2821,hash143593,NA,NA,NA,NA,
38,5,coup1629,coupMissing,coupMissing,coupMissing,9,hash97297,hash135704,hash210150,hash40788,hash136190,hash246194,NA,NA,NA,NA,
39,4,coup6358,coup8136,coup3453,coupMissing,9,hash125060,hash183000,hash225514,hash146487,hash173187,NA,NA,NA,NA,NA,
40,6,coup8048,coup2401,coup5656,coupMissing,9,hash9469,hash69268,hash215043,hash137538,hash51785,hash31081,hash161746,NA,NA,NA,
41,5,coup7715,coupMissing,coupMissing,coupMissing,9,hash138682,hash148606,hash232737,hash123831,hash172135,hash3429,NA,NA,NA,NA,
42,4,coup7517,coupMissing,coupMissing,coupMissing,9,hash196444,hash91122,hash47607,hash138107,hash249785,NA,NA,NA,NA,NA,
43,4,coup5870,coupMissing,coupMissing,coupMissing,9,hash88212,hash228111,hash116892,hash134619,hash136488,NA,NA,NA,NA,NA,
44,8,coup5974,coupMissing,coupMissing,coupMissing,9,hash96415,hash39111,hash227654,hash61708,hash16116,hash174347,hash35267,hash45879,hash198405,NA,
45,5,coup2739,coup5379,coup3923,coupMissing,9,hash175795,hash69547,hash125712,hash223356,hash178187,hash228118,NA,NA,NA,NA,
46,5,coup6397,coupMissing,coupMissing,coupMissing,9,hash161139,hash117122,hash107714,hash251438,hash127475,hash158483,NA,NA,NA,NA,
47,7,coup7584,coup2299,coupMissing,coupMissing,9,hash29638,hash25413,hash172130,hash178667,hash101480,hash153115,hash239342,hash13198,NA,NA,
48,5,coup2481,coup4433,coup354,coupMissing,9,hash190790,hash161791,hash159363,hash69194,hash230147,hash142166,NA,NA,NA,NA,
49,5,coup2906,coupMissing,coupMissing,coupMissing,9,hash97558,hash21123,hash48746,hash208623,hash186645,hash53055,NA,NA,NA,NA,
