RDS
750,3,coupMissing,
1,5,coup2392,coup9542,coup2842,coupMissing,10,hash151023,hash228669,hash251500,hash140496,hash188330,hash132825,NA,NA,NA,NA,NA,
2,4,coup8289,coupMissing,coupMissing,coupMissing,10,hash59381,hash96835,hash169890,hash143595,hash32258,NA,NA,NA,NA,NA,NA,
3,9,coup163,coup6998,coupMissing,coupMissing,10,hash99782,hash139801,hash28356,hash130240,hash17660,hash186261,hash200835,hash247318,hash182578,hash160512,NA,
4,5,coup8844,coupMissing,coupMissing,coupMissing,10,hash3828,hash252334,hash93935,hash28387,hash246143,hash108493,NA,NA,NA,NA,NA,
5,7,coup2703,coupMissing,coupMissing,coupMissing,10,hash155257,hash26922,hash4508,hash129113,hash207950,hash126918,hash242301,hash238425,NA,NA,NA,
6,6,coup6919,coup9078,coup9479,coupMissing,10,hash180251,hash165853,hash103045,hash54284,hash229255,hash12265,hash195359,NA,NA,NA,NA,
7,7,coup2024,coupMissing,coupMissing,coupMissing,10,hash141645,hash75079,hash230500,hash19991,hash113428,hash75397,hash213480,hash56440,NA,NA,NA,
8,6,coup4485,coupMissing,coupMissing,coupMissing,10,hash70187,hash3649,hash153380,hash26422,hash203101,hash148727,hash142226,NA,NA,NA,NA,
9,5,coup5072,coup5023,coup4767,coupMissing,10,hash38530,hash170368,hash60629,hash155167,hash215004,hash183850,NA,NA,NA,NA,NA,
10,4,coup3261,coupMissing,coupMissing,coupMissing,10,hash129632,hash185680,hash238794,hash224358,hash199624,NA,NA,NA,NA,NA,NA,
11,4,coup2186,coup5364,coupMissing,coupMissing,10,hash130329,hash158272,hash36213,hash65978,hash63011,NA,NA,NA,NA,NA,NA,
12,5,coup1003,coup1174,coup1655,coupMissing,10,hash220109,hash62500,hash160539,hash49626,hash161564,hash223096,NA,NA,NA,NA,NA,
13,3,coup4691,coup2425,coup934,coupMissing,10,hash131051,hash4933,hash17959,hash49356,NA,NA,NA,NA,NA,NA,NA,
