RDS
500,3,coupMissing,
1,5,coup6928,coupMissing,coupMissing,coupMissing,11,hash7305,hash4683,hash1606,hash5057,hash3710,hash3131,NA,NA,NA,NA,NA,NA,
2,3,coup9763,coup3585,coup1289,coupMissing,11,hash3216,hash7055,hash7598,hash3674,NA,NA,NA,NA,NA,NA,NA,NA,
3,6,coup1042,coup1466,coup3136,coupMissing,11,hash3627,hash3880,hash6755,hash3787,hash4359,hash1676,hash945,NA,NA,NA,NA,NA,
4,5,coup2201,coupMissing,coupMissing,coupMissing,11,hash7881,hash4950,hash6460,hash2634,hash1200,hash7414,NA,NA,NA,NA,NA,NA,
5,5,coup3453,coupMissing,coupMissing,coupMissing,11,hash2421,hash2598,hash3535,hash3605,hash2380,hash5460,NA,NA,NA,NA,NA,NA,
6,6,coup9346,coupMissing,coupMissing,coupMissing,11,hash373,hash225,hash7687,hash7335,hash7538,hash5465,hash2769,NA,NA,NA,NA,NA,
7,6,coup3652,coup7452,coup6766,coupMissing,11,hash5782,hash2570,hash3074,hash3902,hash6159,hash6198,hash1364,NA,NA,NA,NA,NA,
8,4,coup3226,coup3083,coup712,coupMissing,11,hash1128,hash6711,hash6764,hash3710,hash598,NA,NA,NA,NA,NA,NA,NA,
9,4,coup2454,coupMissing,coupMissing,coupMissing,11,hash6870,hash4485,hash3059,hash1150,hash2292,NA,NA,NA,NA,NA,NA,NA,
10,6,coup8216,coupMissing,coupMissing,coupMissing,11,hash1596,hash4365,hash574,hash3666,hash4734,hash5407,hash7847,NA,NA,NA,NA,NA,
11,7,coup8268,coupMissing,coupMissing,coupMissing,11,hash683,hash3849,hash7116,hash6431,hash5353,hash3937,hash5398,hash3700,NA,NA,NA,NA,
12,4,coup8020,coup3690,coup254,coupMissing,11,hash726,hash5328,hash2438,hash801,hash3172,NA,NA,NA,NA,NA,NA,NA,
13,7,coup8643,coup5123,coup6404,coupMissing,11,hash3491,hash4085,hash588,hash3225,hash5987,hash5542,hash4976,hash7468,NA,NA,NA,NA,
14,7,coup5708,coup2007,coup9238,coupMissing,11,hash636,hash3294,hash304,hash2821,hash6456,hash7699,hash7179,hash2424,NA,NA,NA,NA,
15,5,coup6316,coup8702,coupMissing,coupMissing,11,hash4168,hash6021,hash4409,hash3241,hash4762,hash4244,NA,NA,NA,NA,NA,NA,
16,6,coup2554,coup630,coup8975,coupMissing,11,hash7448,hash7949,hash4575,hash3994,hash3584,hash7453,hash3261,NA,NA,NA,NA,NA,
17,5,coup5048,coupMissing,coupMissing,coupMissing,11,hash3779,hash2652,hash1628,hash4203,hash6483,hash3856,NA,NA,NA,NA,NA,NA,
18,5,coup9468,coup9295,coup3453,coupMissing,11,hash3605,hash5958,hash1558,hash2421,hash4212,hash393,NA,NA,NA,NA,NA,NA,
19,4,coup8140,coup9889,coup2611,coupMissing,11,hash6765,hash3964,hash7501,hash3726,hash7465,NA,NA,NA,NA,NA,NA,NA,
20,6,coup2401,coupMissing,coupMissing,coupMissing,11,hash4493,hash6855,hash3678,hash2634,hash7557,hash6815,hash434,NA,NA,NA,NA,NA,
21,6,coup8702,coup2972,coup160,coupMissing,11,hash4762,hash2422,hash5302,hash4707,hash4168,hash338,hash1663,NA,NA,NA,NA,NA,
22,5,coup6094,coup313,coup6445,coupMissing,11,hash5189,hash624,hash256,hash1534,hash4111,hash4890,NA,NA,NA,NA,NA,NA,
23,5,coup5918,coup7489,coup5048,coupMissing,11,hash6483,hash5328,hash3323,hash3779,hash4392,hash5209,NA,NA,NA,NA,NA,NA,
24,3,coup6600,coupMissing,coupMissing,coupMissing,11,hash4100,hash522,hash304,hash2650,NA,NA,NA,NA,NA,NA,NA,NA,
25,5,coup5129,coupMissing,coupMissing,coupMissing,11,hash82,hash6906,hash553,hash5951,hash6192,hash4056,NA,NA,NA,NA,NA,NA,
26,5,coup844,coupMissing,coupMissing,coupMissing,11,hash1277,hash4793,hash3930,hash1833,hash6321,hash4884,NA,NA,NA,NA,NA,NA,
27,5,coup4553,coup4093,coup7698,coupMissing,11,hash2033,hash6755,hash7674,hash3063,hash6036,hash728,NA,NA,NA,NA,NA,NA,
28,4,coup6347,coup6694,coup1570,coupMissing,11,hash2907,hash3309,hash7687,hash5220,hash4971,NA,NA,NA,NA,NA,NA,NA,
29,8,coup6845,coupMissing,coupMissing,coupMissing,11,hash3596,hash4560,hash449,hash7644,hash5153,hash4548,hash1193,hash2095,hash6812,NA,NA,NA,
30,5,coup2688,coup6668,coup5983,coupMissing,11,hash5470,hash798,hash2823,hash3974,hash7851,hash6373,NA,NA,NA,NA,NA,NA,
